run,start_time_min,end_time_min,jar_mas_g,jar_and_sample_mass_g,sample_mass_g,slope,surface,rainfall,replicate
35,N/A,Blank,2.60741,2.61216,0.00475,5,sand,high,3
35,0,5,2.61537,3.34045,0.72033,5,sand,high,3
35,5,10,2.60749,2.67648,0.06424,5,sand,high,3
35,10,15,2.58127,2.61749,0.03147,5,sand,high,3
35,15,20,2.54621,2.57345,0.02249,5,sand,high,3
35,20,25,2.50998,2.52991,0.01518,5,sand,high,3
35,25,30,2.52211,2.53931,0.01245,5,sand,high,3
35,N/A,Remainder,2.52148,2.64163,0.12015,5,sand,high,3
36,N/A,Blank,2.45118,2.45649,0.00531,5,sand,high,4
36,0,5,2.55866,3.33063,0.76666,5,sand,high,4
36,5,10,2.44569,2.51189,0.06089,5,sand,high,4
36,10,15,2.58065,2.61814,0.03218,5,sand,high,4
36,15,20,2.52493,2.54865,0.01841,5,sand,high,4
36,20,25,2.47445,2.49361,0.01385,5,sand,high,4
36,25,30,2.46705,2.48306,0.0107,5,sand,high,4
36,N/A,Remainder,2.47643,2.57181,0.09538,5,sand,high,4
37,N/A,Blank,2.46239,2.46834,0.00425,5,concrete,high,1
37,0,5,2.48473,3.19752,0.70854,5,concrete,high,1
37,5,10,2.55012,2.59174,0.03737,5,concrete,high,1
37,10,15,2.46016,2.48415,0.01974,5,concrete,high,1
37,15,20,2.46402,2.47454,0.00627,5,concrete,high,1
37,20,25,2.47017,2.47707,0.00265,5,concrete,high,1
37,25,30,2.45644,2.46062,0,5,concrete,high,1
37,N/A,Remainder,2.46359,2.49318,0.02959,5,concrete,high,1
38,N/A,Blank,2.46959,2.47165,0.00206,5,concrete,high,2
38,0,5,2.4692,3.18727,0.71601,5,concrete,high,2
38,5,10,2.48262,2.52949,0.04481,5,concrete,high,2
38,10,15,2.47275,2.49288,0.01807,5,concrete,high,2
38,15,20,2.49428,2.50332,0.00698,5,concrete,high,2
38,20,25,2.47727,2.48519,0.00586,5,concrete,high,2
38,25,30,2.49879,2.50475,0.0057,5,concrete,high,2
38,N/A,Remainder,2.46791,2.49699,0.02908,5,concrete,high,2
39,N/A,Blank,2.49356,2.49712,0.00356,5,concrete,high,3
39,0,5,2.48492,3.21765,0.72917,5,concrete,high,3
39,5,10,2.56499,2.60932,0.04077,5,concrete,high,3
39,10,15,2.4985,2.51462,0.01256,5,concrete,high,3
39,15,20,2.45431,2.46401,0.00614,5,concrete,high,3
39,20,25,2.46672,2.47287,0.00259,5,concrete,high,3
39,25,30,2.48384,2.48795,0.00055,5,concrete,high,3
39,N/A,Remainder,2.50499,2.52179,0.0168,5,concrete,high,3
40,N/A,Blank,2.47605,2.47803,0.00198,5,concrete,high,4
40,0,5,2.47268,3.19801,0.72335,5,concrete,high,4
40,5,10,2.48389,2.532,0.04613,5,concrete,high,4
40,10,15,2.48455,2.50177,0.01524,5,concrete,high,4
40,15,20,2.47911,2.48964,0.00855,5,concrete,high,4
40,20,25,2.459,2.46574,0.00476,5,concrete,high,4
40,25,30,2.46505,2.46945,0.00242,5,concrete,high,4
40,N/A,Remainder,2.46139,2.4826,0.02121,5,concrete,high,4
41,N/A,Blank,2.46916,2.47584,0.00668,10,concrete,high,1
41,0,5,2.5606,3.20478,0.6375,10,concrete,high,1
41,5,10,2.47562,2.53556,0.05326,10,concrete,high,1
41,10,15,2.54769,2.57061,0.01624,10,concrete,high,1
41,15,20,2.44559,2.45687,0.0046,10,concrete,high,1
41,20,25,2.53087,2.54043,0.00288,10,concrete,high,1
41,25,30,2.4689,2.4745,0,10,concrete,high,1
41,N/A,Remainder,2.54051,2.56982,0.02931,10,concrete,high,1
42,N/A,Blank,2.4757,2.47979,0.00409,10,concrete,high,2
42,0,5,2.48309,3.13748,0.6503,10,concrete,high,2
42,5,10,2.49099,2.5525,0.05742,10,concrete,high,2
42,10,15,2.47824,2.49766,0.01533,10,concrete,high,2
42,15,20,2.45465,2.46603,0.00729,10,concrete,high,2
42,20,25,2.48378,2.49296,0.00509,10,concrete,high,2
42,25,30,2.47351,2.47942,0.00182,10,concrete,high,2
42,N/A,Remainder,2.47358,2.50584,0.03226,10,concrete,high,2
43,N/A,Blank,2.47938,2.48141,0.00203,10,concrete,high,3
43,0,5,2.53972,3.21393,0.67218,10,concrete,high,3
43,5,10,2.45709,2.53111,0.07199,10,concrete,high,3
43,10,15,2.45514,2.47757,0.0204,10,concrete,high,3
43,15,20,2.47088,2.48366,0.01075,10,concrete,high,3
43,20,25,2.49152,2.5018,0.00825,10,concrete,high,3
43,25,30,2.46285,2.46851,0.00363,10,concrete,high,3
43,N/A,Remainder,2.49232,2.53535,0.04303,10,concrete,high,3
44,N/A,Blank,2.49326,2.49449,0.00123,10,concrete,high,4
44,0,5,2.5856,3.23392,0.64709,10,concrete,high,4
44,5,10,2.47879,2.55162,0.0716,10,concrete,high,4
44,10,15,2.47578,2.50211,0.0251,10,concrete,high,4
44,15,20,2.47973,2.49601,0.01505,10,concrete,high,4
44,20,25,2.49175,2.50026,0.00728,10,concrete,high,4
44,25,30,2.48065,2.487,0.00512,10,concrete,high,4
44,N/A,Remainder,2.48387,2.53006,0.04619,10,concrete,high,4
45,N/A,Blank,2.48599,2.48826,0.00227,15,concrete,high,1
45,0,5,2.56067,3.19584,0.6329,15,concrete,high,1
45,5,10,2.4685,2.56068,0.08991,15,concrete,high,1
45,10,15,2.46932,2.50087,0.02928,15,concrete,high,1
45,15,20,2.46173,2.47682,0.01282,15,concrete,high,1
45,20,25,2.4888,2.49771,0.00664,15,concrete,high,1
45,25,30,2.48615,2.49087,0.00245,15,concrete,high,1
45,N/A,Remainder,2.48607,2.51519,0.02912,15,concrete,high,1
46,N/A,Blank,2.46484,2.46679,0.00195,15,concrete,high,2
46,0,5,2.49461,3.14315,0.64659,15,concrete,high,2
46,5,10,2.48962,2.57582,0.08425,15,concrete,high,2
46,10,15,2.48205,2.5074,0.0234,15,concrete,high,2
46,15,20,2.47733,2.48986,0.01058,15,concrete,high,2
46,20,25,2.48086,2.4874,0.00459,15,concrete,high,2
46,25,30,2.47771,2.48135,0.00169,15,concrete,high,2
46,N/A,Remainder,2.49349,2.53253,0.03904,15,concrete,high,2
47,N/A,Blank,2.49961,2.50086,0.00125,15,concrete,high,3
47,0,5,2.49628,3.16344,0.66591,15,concrete,high,3
47,5,10,2.48512,2.55656,0.07019,15,concrete,high,3
47,10,15,2.48221,2.5094,0.02594,15,concrete,high,3
47,15,20,2.49605,2.50739,0.01009,15,concrete,high,3
47,20,25,2.4847,2.49084,0.00489,15,concrete,high,3
47,25,30,2.47497,2.48075,0.00453,15,concrete,high,3
47,N/A,Remainder,2.47748,2.5103,0.03282,15,concrete,high,3
48,N/A,Blank,2.49797,2.49958,0.00161,15,concrete,high,4
48,0,5,2.56077,3.23537,0.67299,15,concrete,high,4
48,5,10,2.58598,2.66537,0.07778,15,concrete,high,4
48,10,15,2.55907,2.58163,0.02095,15,concrete,high,4
48,15,20,2.50866,2.51743,0.00716,15,concrete,high,4
48,20,25,2.50126,2.50607,0.0032,15,concrete,high,4
48,25,30,2.50344,2.50806,0.00301,15,concrete,high,4
48,N/A,Remainder,2.46701,2.49921,0.0322,15,concrete,high,4
49,N/A,Blank,2.47051,2.47137,0.00086,15,concrete,med,1
49,0,5,2.47451,2.92276,0.44739,15,concrete,med,1
49,5,10,2.45069,2.72485,0.2733,15,concrete,med,1
49,10,15,2.56384,2.63998,0.07528,15,concrete,med,1
49,15,20,2.54625,2.57694,0.02983,15,concrete,med,1
49,20,25,2.56433,2.57929,0.0141,15,concrete,med,1
49,25,30,2.57423,2.58516,0.01007,15,concrete,med,1
49,N/A,Remainder,2.48901,2.53472,0.04571,15,concrete,med,1
50,N/A,Blank,2.57887,2.57999,0.00112,15,concrete,med,2
50,0,5,2.56177,3.04753,0.48464,15,concrete,med,2
50,5,10,2.56432,2.82462,0.25918,15,concrete,med,2
50,10,15,2.55545,2.61774,0.06117,15,concrete,med,2
50,15,20,2.46188,2.48355,0.02055,15,concrete,med,2
50,20,25,2.46541,2.48538,0.01885,15,concrete,med,2
50,25,30,2.49675,2.50389,0.00602,15,concrete,med,2
50,N/A,Remainder,2.49323,2.53583,0.0426,15,concrete,med,2
51,N/A,Blank,2.47656,2.47777,0.00121,15,concrete,med,3
51,0,5,2.50698,2.97465,0.46646,15,concrete,med,3
51,5,10,2.54219,2.80284,0.25944,15,concrete,med,3
51,10,15,2.5617,2.6389,0.07599,15,concrete,med,3
51,15,20,2.50368,2.52953,0.02464,15,concrete,med,3
51,20,25,2.54844,2.56564,0.01599,15,concrete,med,3
51,25,30,2.49556,2.50567,0.0089,15,concrete,med,3
51,N/A,Remainder,2.44574,2.49063,0.04489,15,concrete,med,3
52,N/A,Blank,2.53377,2.53535,0.00158,15,concrete,med,4
52,0,5,2.52605,2.9774,0.44977,15,concrete,med,4
52,5,10,2.51641,2.79288,0.27489,15,concrete,med,4
52,10,15,2.45427,2.52672,0.07087,15,concrete,med,4
52,15,20,2.55736,2.5843,0.02536,15,concrete,med,4
52,20,25,2.56392,2.57663,0.01113,15,concrete,med,4
52,25,30,2.56324,2.57332,0.0085,15,concrete,med,4
52,N/A,Remainder,2.54346,2.5854,0.04194,15,concrete,med,4
53,N/A,Blank,2.48478,2.48594,0.00116,10,concrete,med,1
53,0,5,2.4619,2.96185,0.49879,10,concrete,med,1
53,5,10,2.4914,2.73474,0.24218,10,concrete,med,1
53,10,15,2.50255,2.55816,0.05445,10,concrete,med,1
53,15,20,2.45959,2.48144,0.02069,10,concrete,med,1
53,20,25,2.46529,2.4815,0.01505,10,concrete,med,1
53,25,30,2.48294,2.49181,0.00771,10,concrete,med,1
53,N/A,Remainder,2.46635,2.52971,0.06336,10,concrete,med,1
54,N/A,Blank,2.45833,2.45902,0.00069,10,concrete,med,2
54,0,5,2.48025,3.01556,0.53462,10,concrete,med,2
54,5,10,2.45957,2.68949,0.22923,10,concrete,med,2
54,10,15,2.48753,2.53632,0.0481,10,concrete,med,2
54,15,20,2.46717,2.48623,0.01837,10,concrete,med,2
54,20,25,2.48072,2.49122,0.00981,10,concrete,med,2
54,25,30,2.49808,2.51183,0.01306,10,concrete,med,2
54,N/A,Remainder,2.48295,2.53724,0.05429,10,concrete,med,2
55,N/A,Blank,2.4763,2.47723,0.00093,10,concrete,med,3
55,0,5,2.48375,2.90731,0.42263,10,concrete,med,3
55,5,10,2.46471,2.74786,0.28222,10,concrete,med,3
55,10,15,2.48762,2.56364,0.07509,10,concrete,med,3
55,15,20,2.53918,2.56554,0.02543,10,concrete,med,3
55,20,25,2.56789,2.5861,0.01728,10,concrete,med,3
