"","condition","size_class","Q25_count_time","Q50_count_time","Q75_count_time","Q25_vol_time","Q50_vol_time","Q75_vol_time","Q25_count_v","Q50_count_v","Q75_count_v","Q25_vol_v","Q50_vol_v","Q75_vol_v","slope","surface","rainfall"
"32",7,"125–250 µm",2.27882858121903,4.55765716243807,9.79704719637496,2.10045231835724,4.20090463671447,8.89263375037888,0.00804506906944537,0.00402253453472269,0.00187131213781607,0.00872827874887055,0.00436413937443528,0.00206163144102862,15,"sand","high"
"33",7,"250–500 µm",1.72870938307903,3.45741876615806,5.8090049795091,1.6376917134695,3.275383426939,4.91307514040851,0.010605214220958,0.00530260711047903,0.00315601955894392,0.0111946181216815,0.00559730906084076,0.00373153937389384,15,"sand","high"
"34",7,"500–1000 µm",1.47840572041274,2.95681144082548,4.43521716123822,1.51677061222602,3.03354122445205,4.55031183667807,0.0124007456682561,0.00620037283412806,0.00413358188941871,0.012087083693181,0.0060435418465905,0.004029027897727,15,"sand","high"
"35",7,">1000 µm",1.38867781155015,2.7773556231003,4.16603343465046,1.41792915236234,2.83585830472468,4.25378745708701,0.0132020063839489,0.00660100319197447,0.00440066879464964,0.0129296539977256,0.00646482699886278,0.00430988466590852,15,"sand","high"
"36",8,"<125 µm",2.49131163953348,4.98262327906695,10.2675159235669,2.39769327654257,4.79538655308513,9.90928708293663,0.00735890807172018,0.00367945403586009,0.00178556658395368,0.0076462379540763,0.00382311897703815,0.00185011627777972,10,"sand","high"
"37",8,"125–250 µm",1.89391199517782,3.78782399035564,7.57962179646678,1.76393303554353,3.52786607108706,6.35836343032524,0.00968014003819223,0.00484007001909612,0.00241876624264806,0.0103934406601122,0.00519672033005611,0.00288334152871717,10,"sand","high"
"38",8,"250–500 µm",1.50077918558168,3.00155837116336,4.50233755674504,1.43852325346606,2.87704650693211,4.31556976039817,0.0122158765989466,0.00610793829947329,0.00407195886631553,0.0127445512536276,0.00637227562681382,0.00424818375120921,10,"sand","high"
"39",8,"500–1000 µm",1.36423354103068,2.72846708206136,4.09270062309204,1.40347913721172,2.80695827442345,4.21043741163517,0.0134385592949741,0.00671927964748707,0.00447951976499138,0.0130627758170712,0.00653138790853562,0.00435425860569042,10,"sand","high"
"40",8,">1000 µm",1.34410288582183,2.68820577164366,4.0323086574655,1.424323708668,2.84864741733599,4.27297112600399,0.0136398288603656,0.00681991443018281,0.00454660962012187,0.012871605816685,0.0064358029083425,0.00429053527222834,10,"sand","high"
"41",9,"<125 µm",2.81661059422338,6.32707299787385,14.1823301864285,2.66500494287653,5.79840611069099,13.8344160455673,0.00650900531686324,0.00289760104545879,0.00129268837294995,0.00687928680295236,0.00316178842656962,0.00132519748379315,5,"sand","high"
