"run","start_time_min","end_time_min","jar_mass_g","jar_and_sample_mass_g","sample_mass_g","slope","surface","rainfall","replicate","raw_mass_g","condition","cumulative_mass_g"
28,5,10,2.59695,2.71479,0.11255,15,"sand","high",4,0.11784,7,0.70158
28,10,15,2.60596,2.66059,0.04934,15,"sand","high",4,0.05463,7,0.75092
28,15,20,2.59912,2.63511,0.0307,15,"sand","high",4,0.03599,7,0.78162
28,20,25,2.57376,2.59718,0.01813,15,"sand","high",4,0.0234199999999998,7,0.79975
28,25,30,2.56002,2.57876,0.01345,15,"sand","high",4,0.0187399999999998,7,0.8132
29,0,5,2.63813,3.33004,0.68719,10,"sand","high",1,0.69191,8,0.68719
29,5,10,2.58471,2.66779,0.07836,10,"sand","high",1,0.0830800000000003,8,0.76555
29,10,15,2.59357,2.63051,0.03222,10,"sand","high",1,0.03694,8,0.79777
29,15,20,2.56683,2.58976,0.01821,10,"sand","high",1,0.0229300000000001,8,0.81598
29,20,25,2.60107,2.61588,0.01009,10,"sand","high",1,0.0148100000000002,8,0.82607
29,25,30,2.5922,2.60233,0.00541,10,"sand","high",1,0.0101299999999998,8,0.83148
30,0,5,2.60252,3.28562,0.68007,10,"sand","high",2,0.6831,8,0.68007
30,5,10,2.6625,2.74833,0.0828,10,"sand","high",2,0.0858300000000001,8,0.76287
30,10,15,2.59709,2.63541,0.03529,10,"sand","high",2,0.0383199999999997,8,0.79816
30,15,20,2.4934,2.5154,0.01897,10,"sand","high",2,0.0220000000000002,8,0.81713
30,20,25,2.49087,2.50708,0.01318,10,"sand","high",2,0.0162100000000001,8,0.83031
30,25,30,2.45775,2.46847,0.00769,10,"sand","high",2,0.0107200000000001,8,0.838
31,0,5,2.49608,3.10136,0.60033,10,"sand","high",3,0.60528,8,0.60033
31,5,10,2.51331,2.61697,0.09871,10,"sand","high",3,0.10366,8,0.69904
31,10,15,2.51715,2.56859,0.04649,10,"sand","high",3,0.0514399999999999,8,0.74553
31,15,20,2.45099,2.47929,0.02335,10,"sand","high",3,0.0283000000000002,8,0.76888
31,20,25,2.51046,2.53151,0.0161,10,"sand","high",3,0.0210499999999998,8,0.78498
31,25,30,2.46945,2.48417,0.00977,10,"sand","high",3,0.0147200000000001,8,0.79475
32,0,5,2.5116,3.15288,0.63479,10,"sand","high",4,0.64128,8,0.63479
32,5,10,2.49228,2.58924,0.09047,10,"sand","high",4,0.0969600000000002,8,0.72526
32,10,15,2.49609,2.54256,0.03998,10,"sand","high",4,0.0464699999999998,8,0.76524
